"start","end","class","season","n_obs"
0,0.0100248865783215,0,"autumn",8888
0.0100248865783215,0.340016591052214,1,"autumn",3465
0.340016591052214,0.670008295526107,2,"autumn",1670
0.670008295526107,1,3,"autumn",286
0,0.0100259594619274,0,"calving",11495
0.0100259594619274,0.340017306307952,1,"calving",1875
0.340017306307952,0.670008653153976,2,"calving",764
0.670008653153976,1,3,"calving",175
0,0.0100013855844736,0,"overall",2070
0.0100013855844736,0.340000923722982,1,"overall",9650
0.340000923722982,0.670000461861491,2,"overall",1580
0.670000461861491,1,3,"overall",1009
0,0.010002713650465,0,"postcalving",10883
0.010002713650465,0.34000180910031,1,"postcalving",2457
0.34000180910031,0.670000904550155,2,"postcalving",661
0.670000904550155,1,3,"postcalving",308
0,0.0100113842636347,0,"precalving",5108
0.0100113842636347,0.34000758950909,1,"precalving",8048
0.34000758950909,0.670003794754545,2,"precalving",874
0.670003794754545,1,3,"precalving",279
0,0.0100251454859972,0,"rut",1478
0.0100251454859972,0.340016763657331,1,"rut",11772
0.340016763657331,0.670008381828666,2,"rut",848
0.670008381828666,1,3,"rut",211
0,0.0100072305649519,0,"summer",8344
0.0100072305649519,0.340004820376635,1,"summer",3913
0.340004820376635,0.670002410188317,2,"summer",1340
0.670002410188317,1,3,"summer",712
0,0.0100053576752543,0,"winter",1905
0.0100053576752543,0.340003571783503,1,"winter",8822
0.340003571783503,0.670001785891751,2,"winter",2796
0.670001785891751,1,3,"winter",786
